g358ft,1710749398656
v255ai,2619346068896
s007a,3203762329344
aua066,18461971615776
v583a,4114289136864
mf0004,7699579616
st01b,298233999264
avt002,428889499104
v253e,6536750693760
aum018,13767352052304
s006a,3199330874144
ks2005,12858949586848
v581b,1142190134880
v253d,6516926831248
avs003,6793231370816
avs002,6747855992416
v558e,5591866984864
v252bu,2279058613712
aua065,21017999971680
v252bt,2386112230880
vt29a,10838182881184
si0216,853228958560
mf0014,7706406816
s005c,7703764288
s008a,3203061955008
g323,9366291904
g323-64M,3892226880
g323-32,11519815680
v191d,3166084097328
s006b,3198987385664
v589a,4862898518496
timetest,26560458560
si0237,891776679136
v591b,2026640925568
v587a,2874486180960
v586a,4440527168880
mf0011,7682110016
v560e,1126058816000
aumtc1,6034575967328
v452f,2014039675776
vc390,109982961632
aua067,5014790460864
si0225,770653404288
mf0010,7692696192
aum014,5524129122560
aua064,21098653532608
of,1138728768
v560d,1340605822848
test,1053228128
vt026a,15300441600
vt02ar,14495155200
g339,164172851104
mf0009,7710013184
mf0006,6414323072
mf0013,7700093664
mf0015,7695684096
mf0001,3837352256
mf0007,2567083424
g358Hb,19371963136
v252br,2484931664400
mf0005,5772437760
mf0008,5415278816
